$Date;$Time;P21P303A_IFASE_A;P21P303A_VOLT_AB;P21P303B_IFASE_A;P21P303B_VOLT_AB;P21P303C_IFASE_A;P21P303C_VOLT_AB
11/05/2023;4:30:43;0;0;0;0;0;0
11/05/2023;4:50:52;0;0;0;0;0;0
11/05/2023;5:11:02;0;0;0;0;0;0
11/05/2023;5:31:12;0;0;0;0;0;0
11/05/2023;5:51:21;0;0;0;0;0;0
11/05/2023;6:11:31;0;0;0;0;0;0
11/05/2023;6:31:40;0;0;0;0;0;0
11/05/2023;6:51:50;0;0;0;0;0;0
11/05/2023;7:12:00;0;0;0;0;0;0
11/05/2023;7:32:09;0;0;0;0;0;0
11/05/2023;7:52:19;0;0;0;0;0;0
11/05/2023;8:12:28;0;0;0;0;0;0
11/05/2023;8:32:38;0;0;0;0;0;0
11/05/2023;8:52:48;0;0;0;0;0;0
11/05/2023;9:12:57;0;0;0;0;0;0
11/05/2023;9:33:07;0;0;0;0;0;0
11/05/2023;9:53:16;0;0;0;0;0;0
11/05/2023;10:13:26;0;0;0;0;0;0
11/05/2023;10:33:36;0;0;0;0;0;0
11/05/2023;10:53:45;0;0;0;0;0;0
11/05/2023;11:13:55;0;0;0;0;0;0
11/05/2023;11:34:04;0;0;0;0;0;0
11/05/2023;11:54:14;0;0;0;0;0;0
11/05/2023;12:14:24;0;0;0;0;0;0
11/05/2023;12:34:33;0;0;0;0;0;0
11/05/2023;12:54:43;0;0;0;0;0;0
11/05/2023;13:14:52;0;0;0;0;0;0
11/05/2023;13:35:02;0;0;0;0;0;0
11/05/2023;13:55:12;0;0;0;0;0;0
11/05/2023;14:15:21;0;0;0;0;0;0
11/05/2023;14:35:31;0;0;0;0;0;0
11/05/2023;14:55:40;0;0;0;0;0;0
11/05/2023;15:15:50;0;0;0;0;0;0
11/05/2023;15:36:00;0;0;0;0;0;0
11/05/2023;15:56:09;0;0;0;0;0;0
11/05/2023;16:16:19;0;0;0;0;0;0
11/05/2023;16:36:28;0;0;0;0;0;0
11/05/2023;16:56:38;0;0;0;0;0;0
11/05/2023;17:16:48;0;0;0;0;0;0
11/05/2023;17:36:57;0;0;0;0;0;0
11/05/2023;17:57:07;0;0;0;0;0;0
11/05/2023;18:17:16;0;0;0;0;0;0
11/05/2023;18:37:26;0;0;0;0;0;0
11/05/2023;18:57:36;0;0;0;0;0;0
11/05/2023;19:17:45;0;0;0;0;0;0
11/05/2023;19:37:55;0;0;0;0;0;0
11/05/2023;19:58:04;0;0;0;0;0;0
11/05/2023;20:18:14;0;0;0;0;0;0
11/05/2023;20:38:24;0;0;0;0;0;0
11/05/2023;20:58:33;0;0;0;0;0;0
11/05/2023;21:18:43;0;0;0;0;0;0
11/05/2023;21:38:52;0;0;0;0;0;0
11/05/2023;21:59:02;0;0;0;0;0;0
11/05/2023;22:19:12;0;0;0;0;0;0
11/05/2023;22:39:21;0;0;0;0;0;0
11/05/2023;22:59:31;0;0;0;0;0;0
11/05/2023;23:19:40;0;0;0;0;0;0
11/05/2023;23:39:50;0;0;0;0;0;0
11/06/2023;0:00:00;0;0;0;0;0;0
